particles,time
100,1.7226352897733284
200,1.7275669560202513
300,2.1947513326161916
400,3.8706902671172827
500,3.9142824318643386
600,4.822614199874975
700,7.599702228756516
800,8.511229510814353
900,10.831949757819057
1000,16.034368077202974
1100,15.35541760217943
1200,18.73638231812551
1300,21.851505458629063
1400,24.735935448769943
1500,28.304077816812068
1600,31.150760027185605
1700,35.524527353578584
1800,47.58143147827388
1900,43.31875694161846
2000,61.54743230207798
2100,53.968220658677204
2200,87.91128116309045
2300,68.23807976093573
2400,94.06635102495738
2500,74.85904793455919
2600,74.5666212781357
2700,80.7556527853445
2800,87.28337179457773
2900,116.32097020761546
3000,144.32547672166805
3100,186.84846708970804
3200,180.06167073498017
3300,120.63970466726863
3400,127.10677932098942
3500,158.5793531218576
3600,141.48329953689762
3700,295.0928374964437
3800,159.15149589865564
3900,172.09055575343163
4000,194.63107057223164
4100,183.74957232589878
4200,206.21332211599076
4300,211.98456258228728
4400,223.6319527845951
4500,266.268787291588
4600,229.58509767133086
4700,374.61858758101437
4800,283.46616173503764
4900,286.10513045841276
5000,576.5443249848717
5100,439.1326001085476
5200,477.6665960465699
5300,461.9669764758172
5400,326.0928287594693
5500,466.0455434623565
5600,437.94555021038195
5700,661.2854194205472
5800,394.8656225869144
5900,376.1586678178733
6000,470.0522184377476
6100,403.7433404668826
6200,627.3889384756577
6300,426.6750408480822
6400,451.09347620187015
6500,805.7038977044755
6600,644.0717245219912
6700,691.5397381255116
6800,585.3064651232107
6900,842.4719439824802
7000,752.7090928001808
7100,575.3958328789752
7200,561.6449164062557
7300,576.2352524518687
7400,843.6409852354404
7500,601.9689148540482
7600,997.0652735888943
7700,771.4577669029168
7800,694.0750635145685
7900,909.2457511110579
8000,681.6319900415583
